File name,Begin Time (s),End Time (s),Species Code,Confidence
1292756451970594717.wav,0,0.5625,Amblycorypha rotundifolia,0.36464795
1292756451970594717.wav,0.5625,1.125,Amblycorypha rotundifolia,0.15473889
